system_code,system_name,business_owner,tech_owner,environment,security_level,data_max_level,deployment,last_pentest_date,status,description
SYS-OA-001,星云OA办公系统,张明-行政部,李强-IT运维,生产,三级,L3,阿里云华东2,2025-06-15,运行中,人事审批公文档案等核心办公
SYS-ERP-002,星云ERP财务系统,王芳-财务部,陈伟-IT运维,生产,三级,L4,自建机房双活,2025-05-20,运行中,总账应收应付固定资产核算
SYS-CRM-003,星云CRM客户系统,刘洋-销售部,赵磊-研发效能,生产,三级,L3,腾讯云华北,2025-07-01,运行中,客户线索商机合同管理
SYS-HR-004,星云eHR人事系统,张明-人力资源,李强-IT运维,生产,三级,L4,阿里云华东2,2025-04-10,运行中,薪酬考勤招聘员工档案
SYS-DMP-005,数据中台,孙丽-数据部,周杰-数据架构,生产,三级,L4,华为云华南,2025-06-28,运行中,统一数据仓库与指标服务
SYS-DEV-006,研发协作平台GitLab,赵磊-研发效能,赵磊-研发效能,生产,二级,L3,自建机房,2025-03-18,运行中,代码仓库CI/CD制品库
SYS-WIKI-007,企业知识库Ragent,孙丽-数据部,吴昊-AI平台,生产,二级,L2,阿里云华东2,2025-08-01,运行中,AI知识库问答与文档检索
SYS-VPN-008,零信任接入网关,李强-IT运维,李强-IT运维,生产,三级,L2,阿里云+本地,2025-05-05,运行中,远程办公VPN与终端准入
SYS-SSO-009,统一身份认证IAM,李强-IT运维,李强-IT运维,生产,三级,L3,自建机房双活,2025-06-01,运行中,SSO OIDC MFA账号生命周期
SYS-SOC-010,安全运营中心SIEM,钱进-信息安全,钱进-信息安全,生产,三级,L3,自建机房,2025-07-10,运行中,日志采集关联分析告警
SYS-MAIL-011,企业邮件系统,张明-行政部,李强-IT运维,生产,二级,L3,腾讯企业邮,2025-02-22,运行中,Exchange Online混合部署
SYS-BI-012,商业智能报表BI,王芳-财务部,周杰-数据架构,生产,二级,L3,数据中台下游,2025-04-30,运行中,管理驾驶舱与业务报表
SYS-API-013,开放平台API网关,刘洋-销售部,吴昊-AI平台,生产,三级,L2,阿里云华东2,2025-06-20,运行中,对外API鉴权限流审计
SYS-BAK-014,备份一体机,李强-IT运维,李强-IT运维,生产,二级,L4,自建机房,2025-01-15,运行中,核心库备份与异地容灾
SYS-TEST-015,集成测试环境,赵磊-研发效能,赵磊-研发效能,测试,二级,L2,阿里云测试VPC,2025-08-05,运行中,联调测试不含生产数据
SYS-OA-001-PRE,星云OA预发环境,张明-行政部,李强-IT运维,预发,二级,L2,阿里云华东2,2025-06-15,运行中,OA发版前验证
SYS-LEG-016,电子合同签章系统,王芳-法务部,陈伟-IT运维,生产,三级,L4,法大大SaaS,2025-05-12,运行中,合同签署存证司法出证
SYS-INS-017,互联网保险核心系统,刘洋-保险事业部,吴昊-AI平台,生产,三级,L4,专有云,2025-07-08,运行中,保单理赔监管报送
SYS-MON-018,统一监控告警平台,李强-IT运维,李强-IT运维,生产,二级,L2,自建机房,2025-03-25,运行中,Prometheus Grafana告警
SYS-LOG-019,日志审计平台,钱进-信息安全,钱进-信息安全,生产,三级,L3,自建机房,2025-06-18,运行中,180天日志留存合规审计
SYS-FILE-020,企业网盘,张明-行政部,李强-IT运维,生产,二级,L3,阿里云OSS,2025-04-08,运行中,内部文件共享与外链管控
